Genus	State	Proportion	Replicate
Coccyzus	II	0	7
Coccyzus	NS	0.04	7
Coccyzus	S	0.39	7
Coccyzus	SS	0.56	7
Cuculus	AA	0.41	7
Cuculus	AP	0.04	7
Cuculus	II	0.02	7
Cuculus	NS	0.01	7
Cuculus	S	0.49	7
Cuculus	SS	0.03	7
Eudynamys	AA	0	7
Eudynamys	AP	0	7
Eudynamys	II	0.95	7
Eudynamys	NS	0	7
Eudynamys	S	0.05	7
Eudynamys	SS	0	7
Hierococcyx	AA	0.01	7
Hierococcyx	AP	0	7
Hierococcyx	II	0.02	7
Hierococcyx	NS	0	7
Hierococcyx	S	0.97	7
Hierococcyx	SS	0	7
Phaenicophaeus	AA	0	7
Phaenicophaeus	AP	0	7
Phaenicophaeus	II	0	7
Phaenicophaeus	NS	0	7
Phaenicophaeus	S	1	7
Phaenicophaeus	SS	0	7
Piaya	AA	0	7
Piaya	AP	0	7
Piaya	II	0	7
Piaya	NS	0	7
Piaya	S	1	7
Piaya	SS	0	7
Surniculus	AA	0.01	7
Surniculus	AP	0.01	7
Surniculus	II	0.09	7
Surniculus	NS	0	7
Surniculus	S	0.89	7
Surniculus	SS	0	7
Cacomantis	AA	0	8
Cacomantis	AP	0	8
Cacomantis	II	0.09	8
Cacomantis	NS	0	8
Cacomantis	S	0.91	8
Cacomantis	SS	0	8
Cercococcyx	AA	0	8
Cercococcyx	AP	0	8
Cercococcyx	II	0	8
Cercococcyx	NS	0	8
Cercococcyx	S	1	8
Cercococcyx	SS	0	8
Chalcites	AA	0.01	8
Chalcites	AP	0	8
Chalcites	II	0.08	8
Chalcites	NS	0	8
Chalcites	S	0.89	8
Chalcites	SS	0.02	8
Chrysococcyx	AA	0.02	8
Chrysococcyx	AP	0.01	8
Chrysococcyx	II	0.13	8
Chrysococcyx	NS	0.02	8
Chrysococcyx	S	0.81	8
Chrysococcyx	SS	0.01	8
Clamator	AA	0.07	8
Clamator	AP	0.35	8
Clamator	II	0.18	8
Clamator	NS	0.04	8
Clamator	S	0.35	8
Clamator	SS	0.01	8
Coccycua	AA	0.01	8
Coccycua	AP	0.02	8
Coccycua	II	0	8
Coccycua	NS	0	8
Coccycua	S	0.94	8
Coccycua	SS	0.03	8
Coccyzus	AA	0.01	8
Coccyzus	AP	0	8
Coccyzus	II	0	8
Coccyzus	NS	0.04	8
Coccyzus	S	0.39	8
Coccyzus	SS	0.56	8
Cuculus	AA	0.41	8
Cuculus	AP	0.04	8
Cuculus	II	0.02	8
Cuculus	NS	0.01	8
Cuculus	S	0.49	8
Cuculus	SS	0.03	8
Eudynamys	AA	0	8
Eudynamys	AP	0	8
Eudynamys	II	0.95	8
Eudynamys	NS	0	8
Eudynamys	S	0.05	8
Eudynamys	SS	0	8
Hierococcyx	AA	0.01	8
Hierococcyx	AP	0	8
Hierococcyx	II	0.02	8
Hierococcyx	NS	0	8
Hierococcyx	S	0.97	8
Hierococcyx	SS	0	8
Phaenicophaeus	AA	0	8
Phaenicophaeus	AP	0	8
Phaenicophaeus	II	0	8
Phaenicophaeus	NS	0	8
Phaenicophaeus	S	1	8
Phaenicophaeus	SS	0	8
Piaya	AA	0	8
Piaya	AP	0	8
Piaya	II	0	8
Piaya	NS	0	8
Piaya	S	1	8
Piaya	SS	0	8
Surniculus	AA	0.01	8
Surniculus	AP	0.01	8
Surniculus	II	0.09	8
Surniculus	NS	0	8
Surniculus	S	0.89	8
Surniculus	SS	0	8
